"","V1","V2","V3","V4","V5","V6","Y","target"
"1",1,0,0,0,0,0,-0.991140148954667,1
"2",0,0,0,0,0,0,-0.771269416677481,2
"3",1,1,1,0,0,0,1.5052613431742,1
"4",0,0,0,1,0,0,0.334374746873299,2
"5",0,1,0,0,0,1,1.71843961560271,2
"6",1,1,1,0,0,0,2.15499756054162,1
"7",1,1,1,1,1,1,-0.592310263162823,0
"8",1,1,1,0,0,0,2.05569424888315,1
"9",1,1,0,1,1,1,-2.11645085518405,0
"10",1,1,1,0,0,0,1.09535027433278,1
"11",0,0,0,0,0,0,-0.984946125117032,2
"12",1,1,1,0,0,0,1.06908519272427,1
"13",1,1,1,0,0,0,-0.631067625194979,1
"14",0,0,0,0,0,0,0.906784266675429,2
"15",1,1,1,0,1,0,0.212277566734481,1
"16",0,1,1,0,0,0,2.67762544215613,1
"17",1,0,1,0,1,1,-0.296048692823928,1
"18",0,0,0,0,0,0,0.853015188243498,2
"19",0,0,0,0,0,0,-0.187165547863861,2
"20",0,1,0,0,0,0,-0.11298112310661,2
"21",1,1,1,1,1,1,-1.11518832877648,0
"22",0,1,1,0,0,0,0.550128481217879,2
"23",0,0,0,0,0,0,-0.844702998702983,2
"24",1,1,1,0,0,0,-0.894581150472303,1
"25",0,0,0,0,0,0,-0.361716987817265,2
"26",1,1,1,1,1,1,-3.45816943054902,0
"27",1,1,1,0,0,1,-0.978384916573084,1
"28",1,1,1,0,0,0,0.91142893273121,1
"29",1,1,1,0,0,0,0.996519151426798,1
"30",0,1,0,0,0,1,-0.837823061167782,2
"31",1,1,1,0,0,0,1.5709409939422,1
"32",1,1,1,0,0,1,-0.833170451698727,1
"33",1,1,1,1,1,1,-0.581485440842945,0
"34",1,1,1,0,0,0,1.57535672452013,1
"35",1,1,1,0,0,0,0.875281841763514,1
"36",0,0,0,0,0,0,-0.273152246519902,2
"37",0,0,0,0,0,0,-0.226662203724,2
"38",1,1,1,1,1,1,-1.21682705022214,0
